Size,Runtime
(bytes),(seconds)
      5120,0.00371194
      6144,0.00371003
      7168,0.00371718
      8192,0.00371385
     10240,0.00371194
     12288,0.00371385
     14336,0.00371289
     16384,0.00371385
     20480,0.00371385
     24576,0.00373292
     28672,0.00374007
     32768,0.00376201
     40960,0.00444913
     49152,0.00487590
     57344,0.00509906
     65536,0.00533199
     81920,0.00565505
     98304,0.00581694
    114688,0.00591087
    131072,0.00602508
    163840,0.00615788
    196608,0.00643206
    229376,0.00651598
    262144,0.00721693
    327680,0.00916815
    393216,0.01036692
    458752,0.01148009
    524288,0.01225996
    655360,0.01336694
    786432,0.01406384
    917504,0.01455688
   1048576,0.01494908
   1310720,0.01546097
   1572864,0.01580286
   1835008,0.01647496
   2097152,0.01699996
   2621440,0.01970291
   3145728,0.02618599
   3670016,0.03996205
   4194304,0.05222702
   5242880,0.07059312
   6291456,0.07837105
   7340032,0.08403206
   8388608,0.09009194
  10485760,0.09652305
  12582912,0.09932494
  14680064,0.11066103
  16777216,0.11114311
  20971520,0.10895610
  25165824,0.11169982
  29360128,0.11327696
  33554432,0.10072708
  41943040,0.11619902
  50331648,0.11968398
  58720256,0.11677289
  67108864,0.12217903
  83886080,0.12621593
 100663296,0.13072705
 117440512,0.12896085
 134217728,0.13076591
 167772160,0.13180709
 201326592,0.13034296
 234881024,0.13497114
 268435456,0.13556099
