Size,Runtime
(bytes),(seconds)
      5120,0.00373602
      6144,0.00371099
      7168,0.00371504
      8192,0.00371385
     10240,0.00371194
     12288,0.00371408
     14336,0.00371289
     16384,0.00371385
     20480,0.00372481
     24576,0.00372791
     28672,0.00372601
     32768,0.00373101
     40960,0.00371790
     49152,0.00371790
     57344,0.00371695
     65536,0.00371790
     81920,0.00371695
     98304,0.00371790
    114688,0.00371695
    131072,0.00371695
    163840,0.00371695
    196608,0.00371695
    229376,0.00371695
    262144,0.00371695
    327680,0.00371695
    393216,0.00371599
    458752,0.00371695
    524288,0.00371695
    655360,0.00371695
    786432,0.00371695
    917504,0.00371695
   1048576,0.00371695
   1310720,0.00428009
   1572864,0.00371695
   1835008,0.00371695
   2097152,0.00371695
   2621440,0.00371695
   3145728,0.00371885
   3670016,0.00372005
   4194304,0.00372314
   5242880,0.00372195
   6291456,0.00372505
   7340032,0.00372195
   8388608,0.00372601
  10485760,0.00372601
  12582912,0.00372386
  14680064,0.00372410
  16777216,0.00372481
  20971520,0.00372577
  25165824,0.00372505
  29360128,0.00443101
  33554432,0.00372291
  41943040,0.00372386
  50331648,0.00372410
  58720256,0.00372386
  67108864,0.00372386
  83886080,0.00372601
 100663296,0.00372100
 117440512,0.00372195
 134217728,0.00372481
 167772160,0.00374508
 201326592,0.00372696
 234881024,0.00372386
 268435456,0.00372195
