Size,Runtime
(bytes),(seconds)
      2560,0.00199294
      3072,0.00199413
      3584,0.00196600
      4096,0.00199294
      5120,0.00199389
      6144,0.00199294
      7168,0.00199199
      8192,0.00196695
     10240,0.00199389
     12288,0.00199080
     14336,0.00196600
     16384,0.00196505
     20480,0.00199413
     24576,0.00199485
     28672,0.00199199
     32768,0.00199318
     40960,0.00299096
     49152,0.00299096
     57344,0.00298595
     65536,0.00296283
     81920,0.00302196
     98304,0.00396013
    114688,0.00398302
    131072,0.00398779
    163840,0.00398612
    196608,0.00398803
    229376,0.00398803
    262144,0.00395894
    327680,0.00795293
    393216,0.00797796
    458752,0.00794911
    524288,0.00794911
    655360,0.00897503
    786432,0.00897503
    917504,0.00894499
   1048576,0.00894690
   1310720,0.00894403
   1572864,0.00894904
   1835008,0.00994301
   2097152,0.00994492
   2621440,0.00997305
   3145728,0.00997305
   3670016,0.01093888
   4194304,0.01094317
   5242880,0.01097298
   6291456,0.01193595
   7340032,0.01094007
   8388608,0.01193881
  10485760,0.01093793
  12582912,0.01097107
  14680064,0.01096988
  16777216,0.01094198
  20971520,0.01100397
  25165824,0.01093912
  29360128,0.01093793
  33554432,0.01097107
  41943040,0.01193905
  50331648,0.01193810
  58720256,0.01196694
  67108864,0.01096988
  83886080,0.01094294
 100663296,0.01096988
 117440512,0.01193786
 134217728,0.01096821
