Size,Runtime
(bytes),(seconds)
      2560,0.00199485
      3072,0.00199485
      3584,0.00199413
      4096,0.00199294
      5120,0.00199389
      6144,0.00199413
      7168,0.00199389
      8192,0.00199389
     10240,0.00197101
     12288,0.00199389
     14336,0.00199413
     16384,0.00196600
     20480,0.00196600
     24576,0.00199413
     28672,0.00199389
     32768,0.00199389
     40960,0.00295997
     49152,0.00296187
     57344,0.00299191
     65536,0.00299096
     81920,0.00398898
     98304,0.00395989
    114688,0.00396085
    131072,0.00398684
    163840,0.00396204
    196608,0.00398898
    229376,0.00398898
    262144,0.00698113
    327680,0.00797892
    393216,0.00797892
    458752,0.00894690
    524288,0.00797796
    655360,0.00894713
    786432,0.00900388
    917504,0.00897598
   1048576,0.00897598
   1310720,0.00898004
   1572864,0.00894904
   1835008,0.01094198
   2097152,0.01097012
   2621440,0.01094198
   3145728,0.01097012
   3670016,0.01196909
   4194304,0.01294804
   5242880,0.01296496
   6291456,0.01196718
   7340032,0.01296496
   8388608,0.01196909
  10485760,0.01193595
  12582912,0.01293397
  14680064,0.01194000
  16777216,0.01199508
  20971520,0.01199603
  25165824,0.01293612
  29360128,0.01193905
  33554432,0.01199293
  41943040,0.01215100
  50331648,0.01293588
  58720256,0.01196814
  67108864,0.01293612
  83886080,0.01296496
 100663296,0.01193786
 117440512,0.01196790
 134217728,0.01193905
